auui	以
azhm	驴
azjq	綟
azmu	編
aztc	絒
baau	函 即以 䳭
bafv	既 函授
bagu	丞
bais	承
bakg	暨 即是 既是 降水量
bald	剥
bamm	盝
bas	录 隶 氶 阥
batv	陖
bavq	鱀 承受
bazd	逮 逯
bbe	阤
bbg	限
bckc	隙
bcl	阞
bcpe	隲
bctu	肃
bcuz	孔
bczz	逊
bdig	陉
bdoy	隦
beau	鷫 也可以
bef	陠
bejv	陻
beli	蝨
beov	阿
beqp	隞
betu	阱
beui	鳵 卂
bezi	迅
bfau	陆
bfbd	建
bfc	阵
bfeo	陭
bfgc	隇 建厂
bfkc	隁
bfpm	衋 建制
bfs	际
bfu	聿
bfvv	陝
bgbu	阨 敢死队
bge	陑
bggw	阮
bgkv	陌
bgmy	预
bgn	陙
bgov	司 陌路
bgu	刁
bgw	阢
bgxk	隔
bgyy	預
bhcw	隳
bhdo	陬
bhis	隋
bhkm	矠
bhpp	敢
bhsj	堕 墮 飛黃騰達
bic	寻
biib	鄩 寻根 尋根
bikv	陳
bium	鶔 尋釁
bivm	柔 寻觅
bjai	阹 厾
bjc	陣
bjgz	孺 群起而攻之 羣起而攻之
bjkv	陼
bjpu	陇 書籤
bjtj	陸
bjvg	垦
bjxu	陕
bjz	陡
bkax	隰
bkfu	隈
bkgl	隄
bkjv	陧
bko	隅
bkss	陽
bku	肀
bllv	蛋
blnu	陟
blov	阽
blsv	胥
blz	阯 
bmcz	勐
bmmz	孟
bmom	矞
bmsm	鹬
bmum	鷸
bmzm	遹
bndm	矡
bnoj	隚
bnsm	矟
bomb	陨
boon	隤
boxm	盡
bpam	骛 䋷
bpbe	陁
bpcm	婺
bphj	陞
bpjg	隀
bplu	阼
bpnm	瞀 群體 羣體 䂎
bpox	群 焄 羣
bppz	孜
bpsm	鹜 群岛
bpu	尹
bpvm	鍪
bpzz	遜
bqgb	陒
bqmj	帚
bqqx	陊
bqry	豫
bquj	陷 隐忧
brdo	阪
brhu	陲
brq	阡
brxg	恳
bsdz	孢
bsfs	際
bspf	陶
bsxm	陱
btic	附
btw	陮
bubm	矜
budm	矝
buez	险
bug	隗
buig	隉 险工 險工
bujv	坠 陰霾
bun	隝
buou	険
buq	險
burq	陴
busl	隃
butu	阶
buu	队
buw	隖
buxf	隩
bvb	阰
bvfw	阺
bvgp	隆
bvjv	陛
bvub	階
bwul	孓
bwvi	陀
bxlt	隒
bxqf	隣 隣
bxrz	隧
bxtm	隘
byh	陔
bykz	障
byov	陪
byqj	阬
byte	隮 預設值
byu	防
bzbi	阸
bzdg	退
bzfd	买
caaj	绌
cagl	媸 纠正
cam	妈
can	奶
caoj	绐
cauj	纠
cawj	级
cbaj	绿
cbe	她
cbls	婿
cbu	妇
cbv	邚
cby	妤
ccgj	缘
ccij	缫
ccj	丝
cckj	缁
ccm	姆
ccpu	妙
ccrl	勰
ccsj	缪
cdam	驽
cdbz	孥
cdcl	努 努力
cddj	缀
cdeb	娜
cdfj	绎
cdgv	砮
cdj	妃
cdkj	缗 纼
cdmj	帑
cdnv	媚 怒目
cdo	奴
cdpy	翍
cdrx	怒
cdtj	绋
cduu	胬 恕难从命 女强人 女強人
cdvi	妮
cdwj	纫
ceaj	纭
cecu	妩
cedo	妓
cefs	嫖 终南捷径
ceg	奸
ceij	缚
cemb	贯
ceno	嫱
ceru	婊
cesv	婧
cetj	缜
cfaj	纯
cfbj	纬
cfcj	缭
cfdx	尖 㜯
cfej	绔
cfgj	绕
cfhj	绒
cfok	姬
cfpg	娆
cfti	妪 练兵
cfuy	翜
cfzj	绖 纯洁
cgah	彝
cgbl	婕 少不了
cgex	嫣
cghv	妍
cgij	缛 纡
cgll	蠡 劙
cgmj	缅 媾 姉
cgn	娠
cgs	彖
cgtj	绠
cgun	鶨
cgvp	彘
cgyy	頨
chaj	纮
chej	绀 䌺
chfj	绬
chgj	缂
chkj	缙
chsj	绁
chu	毋
chvy	羿
chwj	绂
chxu	娅
cibj	绑
cicj	纣 红尘
cigj	红
cikj	缰
cinj	缃
ciop	嫩
ciw	妹
cjg	姑
cjin	孀
cjjv	娃 尘土
cjkj	绪
cjmj	缬
cjvx	尘
cjxo	嬉
ckav	嫘
ckbc	鄛 䣎
ckdj	缦
ckek	娉
ckgu	妲
ckic	巢
ckku	娼
cklc	剿 疀 㓯
ckmm	媪
ckrj	缌
cksj	绅
ckty	翼
ckuc	鶅
ckvj	绲
cky	妯
clfj	绯
clkj	绰
clvj	缆
cmcj	缨
cmrj	缳
cmtj	纲
cmuj	纳
cnfd	姻
cnjx	覍
cnom	嫦 组员
cnpj	缈
cnq	姐
cnsj	绡
cnzc	邋
coal	驾
codc	邕
coel	駕
cogf	娱 绝口不提
cohj	缉
coil	架 如來
cokj	绳
coml	贺 嗧 小數點 加點
conl	賀
cool	哿 㔔
corx	恕
cosj	绢
cotj	织
coun	鴽
covl	加 㖙
cowl	袈 织补
cozl	迦
cpab	鄉 郷
cpbj	纥
cpcx	劣
cpff	娥
cpiw	姝
cpjy	翐
cpkp	姊
cplv	蚃
cpmj	缵
cpnx	省 䚇
cps	姓
cpu	乡
cpvs	飨
cqbj	绉
cqfy	翚
cqjy	翬 绝境
cqov	娩 绝路 姳
craj	绣
crey	翆
crhj	缍
crqj	纤
crr	妊
crtu	娇
crwj	纨
cskj	绚
csoj	绸
cspj	绹
cssj	绷
cswu	妁
csxj	绗
ctdj	纷
ctfy	戳
ctoj	绤
ctpj	缑
ctqj	缎
ctrx	媳
cttj	缏 始作俑者
ctuy	鸐
ctvy	翪
ctwj	维
cuaj	绘 缐
cuby	習 给予 鄝
cufy	戮 㦻
cugy	翫 顟
cukd	嫂
cumj	绵 红领巾 婂
cupj	缴
curq	婢
cusy	鹨 翏
cutv	媲 女性化
cuuj	纵 㛗
cuvj	纶
cuwb	妗 结合实际
cuzj	缒
cvb	妣
cvcj	绥 终结
cvdj	缓 绶
cved	媛 婚配 发配
cvfk	婚 发奋
cvhd	嫒 女友
cvij	绦 䌽
cvoj	络 绺
cvxt	姚
cvzj	终 缝
cwdj	绾
cwej	缠
cwfj	综
cwgs	嫁
cwit	嫔
cwkj	缩
cwlj	绽
cwpi	嫉
cwqb	婉
cwtj	缤
cxbj	绻
cxcj	继 缕 小结
cxfj	绊
cxhv	姘 小菜
cxke	婵
cxlt	嫌
cxmj	缢
cxoj	缮
cxpj	绨
cxtj	缣 小傳
cyaj	缡
cycy	翣 统统 翞
cyey	翠
cykg	嬗
cyly	翌 翋
cymj	缔 嫡
cyoj	缟
cyqe	婷
cytj	绞
cyu	妨
cyvj	统
cywj	纹
czcl	妫
czdc	巡
czh	妒
cziv	娴
czmj	编
daig	弘 強項
dapn	犀 犀牛
das	尿
dbbb	孱 局限
dbeg	弛
dbgo	艰
dbov	局
dbvo	邓
dcaf	舝
ddgo	顙 双唇 䫎
ddio	桑
ddmo	颡
ddno	叠 發問
ddoo	双 㕛
dlxg	巽 ☴ ䷴
dduo	鵽 双向
ddww	韌 鸡皮疙瘩
ddzs	選 双肩
dedz	遐
deu	丑
dezw	韔
dfgo	戏
dfic	尉
dfls	蟁 刡 敯
dfrs	愍 㥸
dfz	屋
dgdg	弼 弻 䰜
dgfd	癸 颇大 頗大
dgjw	韝
dgmp	颇
dgox	登
dgxq	凳
dgyp	頗 双百方针
dheg	弭
dhhw	韡
dhiw	韘
dhqs	臀
dhs	屉
dhtq	殿
dhuu	臋
dhvs	异
dhww	韍 韤
diav	巯
dico	对
digm	颈 对面
dild	刭
dimw	韎
diro	怼 劲敌
dizd	迳
djg	居
djkg	疆 發電量 䰞
djld	剧 圣贤
djnw	韥 發達國家
djun	鶋
djvo	圣
dkew	韠
dky	届
dmld	刷
dnbv	郿
dnsv	屑
dobd	邵 㐒
docd	劭 䎄
doew	璧
dolg	强
dool	躄
dopg	犟
dovd	召
doyz	避
dozd	迢 强记
dpcg	张 改线
dpig	矤
dplm	属
dppj	改 改動
dqcg	弥 对角线
dqjw	韗
drgg	弧
drj	尻
druj	鵋 㞚
drxj	忌
dscl	勇 勈
dsed	屐
dskv	履
dsll	屣
dsn	鸤
dsrx	恿
dsxc	屦
dsy	甬
dszd	通
dtbg	鄪
dtdg	艴
dtmg	费
dtng	費
dtug	弗
duew	韟
dun	鳲 䲩
dvb	屁
dvi	尼
dvzd	迡
dwkg	昼 尽量
dwlo	蚤
dwot	咫
dwrd	忍
dwu	尺
dwzd	迟
dxcv	屡 张灯结彩
dxdg	粥 弹弓 彅
dxhv	屏 屡获
dxkg	鬻
dxm	屎
dxug	鶸
dxxg	弱
eaie	云
ealk	繛
eam	玛
eapm	騃
easy	酳 运用 动用 醦
eaue	魂 动情 䰟 䲰
eav	素
eawm	馺
eaze	运 运河 叇
ebam	騄 驌
ebbm	騝
ebcv	妻
ebdm	駸
ebey	酏
ebfc	肆
ebim	騥 䮛
ebmv	觌
ebom	驈
ebsy	醑
ebvg	邗
ebzf	卖
eccb	鬣 要好
ecm	毒
ecov	珈
ecpa	纛 要么
ecsy	醪 专用 无用
ectu	协 要价
ecue	互 协会 无情 璻 亐
ecwe	专 互補
edac	镼
edbm	驏
edcy	翅
eddd	瑕 配發
edfq	珉
edgy	頍
edjy	配
edlm	騷 騒
edo	支
edp	玻
edqm	驋
edtb	髴
edun	鳷
eeay	酝
eecm	騕 瑇
eed	玎
eefy	酺 西班牙 醥
eegy	酐
eeic	博
eekm	驔
eemm	騳
eeov	珂
eerp	瑟 璱
eetb	鬒 䰏
eevb	琵 琴鍵
eewb	琴
eexm	駍
efbu	玮 驅除 珹
efcx	翲 勡
efdm	駏 馱 䮊
efeo	琦
effc	载
efgx	顠 飘来
efht	戴
efiv	栽
efjc	載 驅車 騎車
efky	醃 䤐
eflx	剽
efov	哉
efqx	飄
efrx	瓢
efsx	票 彯
eftx	飘
efuu	胾 载人 載人
efwy	裁 酞
efzd	琏
egaw	球
egb	环
egcm	騵
egeb	髵
eggw	玩
egkb	鬊
egmd	顶
egqk	欤
eguk	与
egwu	琢
egy	頊
ehdm	駵
ehe	珥
ehhm	驊 酣夢 䯀
ehky	醋 醩
ehmf	瑛
ehnc	翸
ehox	覉
ehpy	酽
ehq	琪
ehsb	鬌 髰
ehtu	珙
ehwb	髮
ehxy	醼
eiab	鬆 䰍
eicy	酎
eigm	騞
eilm	騋
eiom	駷
eivx	栗
ejai	珐
ejby	酵
ejgy	酤 醹
ejhx	甄
ejiy	醻
ejkb	鬐 䰇
ejnm	驦
ejob	髻
ejpu	珑
ejsy	醐
ekam	騾
ekcm	騔 騴
ekdb	鬘
ekem	驆 駻 騁
ekfb	韩
ekim	騍
ekly	醍
ekmy	醖 理赔
eknv	瑁 醒目 理睬
ekpy	醒
eksv	朝
ekuc	翰
ekvb	琨
ekym	駎 南昌市
ekze	斡 理清
eldx	璨
elfm	騑
elgy	醵
eljy	醭 无止境
elmm	驢
elov	玷
elqj	琥
elvb	髭
elxj	璞
emb	责
emej	献
emfm	駚
emge	瑞 可见一斑
emhb	髷 献艺
emjb	髯 现场
emmc	璎
emoy	酮 馬蹄
emrb	鬟
emtw	璀 南邊
emu	再
emve	现
emxe	南
enb	責 珼
encb	鬛 真好
enen	矗
enfm	駰
engm	颠 直面 駫 䮩
enkb	鬝
enmb	琐
enom	騧 瑺
enq	直 珇
ensb	髾 直肠 鬜
entg	顛
envm	駟
eoey	酲
eogi	橐 噩耗 㯻
eohr	囊 可恥 嚢
eokm	馽
eoll	蠹 蠹蟲
eood	哥
eoqd	歌 㰤
eosm	駽
eotm	駛
eovo	璐
epbm	駞 駳
epcy	酶
epfm	馲 騀
epim	駯
epjc	镻
eply	酢
epoy	酷
epp	玫
epvy	酰
epzx	覂
eqbc	勃
eqfc	珲
eqj	玑
eqmy	醓 索赔
eqoy	酩
eqpx	熬
eqsy	酘
eqti	琛
eqvy	酖
eqwu	玖
erlb	鬁
ermb	髦 䰔
erom	驕
erpm	駜
ervy	酥
erxb	鬏 表决
esbb	静 靜
esdb	髱
esgl	靛
eskm	駨
esmv	靓 青山
esom	騆 駒
espm	騊 青铜
esqd	靘 青色
esrm	騘
essg	珊
esun	鶄
esvx	覆
eswy	酌 青衣
esx	珩
etay	酗
etcm	馴
etdy	酚
etfi	玳
etib	髹
etjx	覄
ettb	鬂
etue	井
etvm	騣
etwm	騅
etxy	醮
eub	珀
eudm	駖 騪
euem	駩 騜
eug	瑰
euiy	酴 䤕
eujb	髽
eukb	鬠
eulm	騟
eun	鳿
euom	騇
eupx	覈
euqm	赍 驗
eurm	驄 騐
euss	珍
euvr	璁
euwd	玲
evam	駠 䭹
eved	瑗
evfm	騱
evhd	瑷
eviy	酹 釂 䣥
evjf	麸
evky	酯
evoy	酪
evpf	瑶
evsx	麹
evtm	駣
evu	麦
evxt	珧 王道
eway	醿
ewby	酿
ewem	駐 玉環
ewfs	琮
ewhy	釀 醸
ewiy	酧
ewko	瑭
ewlm	騼 䮿
ewnb	鬢
ewoy	醣
ewqb	琬
ewtb	鬓
ewvy	酡
ewxy	醾
exbb	鬈
exev	班
exfu	丧
exhm	駢
exiy	醝
exkm	驓
exlb	鬋
exmx	粟
exno	啬
expb	鬀
extb	鬑 䭮
exug	平 丧命 班會
exvm	駾
exxv	琰 西北
exzy	醚 班房 平房
eyav	琉 珫
eybl	璇
eyey	醉 琉璃
eygm	驙
eyhm	駭
eykz	璋
eyma	璃
eyoc	琼
eypf	敷
eyry	醷
eytm	駮
eyub	髣 斑白
eyvy	酼
eyw	玟
eyxm	騂 平方米
ezd	辻 迋
ezhm	馿
ezmm	騙
ezpb	髿
ezty	酬
faau	拙 报以 报验
fabq	邨
facl	拗
fafg	臧 报捷 挨揍 顿感 頓感
fagq	頓
fahv	拚
famq	顿
fan	扔
faov	抬
fapi	挨 拙笨
fau	击 㧃 㧄
fazq	迍
fbag	拯
fbbw	郕
fbdw	韧 韨
fbfd	抉 抉择 盛大 扫把 掃把
fbhp	撖
fbiv	揉
fbkm	韫
fbmw	盛
fbpo	捃
fbsu	扬
fbu	韦 扫
fbvy	邪
fby	抒
fbzd	违
fcav	紥
fcem	掼 东南
fcgs	掾
fckc	辎
fcld	夯
fcm	拇
fcoc	辔
fcpu	抄 车铃
fcqx	拶
fcsq	鸫
fctw	擢
fcu	扎 兂
fcvw	拨
fcxq	东 车次
fdaa	掘 切斷
fddq	切 撥
fdeu	扭
fdfu	择 巨轮
fdgd	夷 捅破 堅強不屈
fdht	撰
fdic	轻
fdjg	据
fdle	蜸
fdne	賢 大国 緊盯 䁂
fdov	招 大路 切口
fdp	披
fdsy	捅 大脑 挪用
fdtw	摊 握住
fduf	巨
fdve	鋻
fdwl	搔
fdxh	摒
febf	邼
fecu	抚 转给
fed	打
fef	捕
fegc	轩
fehd	奔
feic	搏
feld	剞 打紧 敧
femi	贰
feod	奇 㚡
feqd	欹
feue	擀 转会
fevf	匡
fewc	转 奇案 賢妻良母
fexu	抨
ffbt	拣
ffdu	拒
ffeo	掎 东奔西跑
fffs	捺
ffge	挎 打抱不平
ffic	轼
ffkd	掩
ffmg	盞
ffor	撼
ffpg	挠
ffqg	虦
ffrf	匦 㥦
ffsd	奈 挎包
fftd	奁
ffzd	挞 挑大梁
fgaq	撅
fgbl	捷 大不了
fgcw	威 掭
fgdo	捂 感召
fged	夸 振翅
fgfc	辏
fggf	揍 威武
fgjf	捧
fgkc	辐
fgld	刳 挒 㓫
fgn	振
fgow	咸
fgrw	感
fgsw	觱
fguc	辆
fgv	拓
fgye	頣
fhbv	揶
fhcc	辄 拔丝 拋
fhdd	摄 㿴
fhed	耷 搭配
fhgo	搭
fhiv	揲
fhkv	措
fhof	匿
fhqc	捞
fhrj	撕
fhsp	撒
fhtu	拱 攤牌
fhug	戎 大革命
fhvg	戒
ficd	夺
fig	扛
fikg	揸
fim	抹
fizd	挝
fjek	拷
fjf	扶
fjgm	撷 挂面
fjjv	挂
fjkd	奢
fjo	扰
fjpu	拢
fjrc	辕
fjtw	攉
fjxu	挟
fkav	摞
fkbf	郾
fkdd	奄 揭發
fkeg	捍 提干
fkgu	担
fkhd	撮 提取 抽取
fkj	押
fkmf	颐 赜
fkpu	拽 抽签 抽籤
fks	抻
fktd	奋
fkuc	揭
fkvo	撂
fkxf	熙 提炼 押送 煕
fky	抽
flb	扑
flcw	戚
fldg	划
flf	排
flgw	顣
flkz	掉
fllw	蹙
flmv	揽
flov	拈
flrx	摅
flz	扯
fmcc	辋
fmge	揣
fmjf	匝
fmmc	撄
fmor	擐
fmtw	摧
fnbi	貣
fnew	掴
fnfr	摁 挨門挨戶
fniv	捆
fnor	撑 攌
fnsv	捎 撊
fntd	攫
focl	拐 捌
fodb	挹
fohc	辑
folu	捉
fomb	损
fone	贒 成员国
fooi	操
forg	惑
fosv	捐
fotc	轵
fov	扣
fpaf	繄
fpbe	拖
fpcq	翘 轻重缓急
fpef	醫 大動干戈
fpfq	托 扥
fpgq	尧
fpif	医 ㊩
fpjc	轶 拖車
fpme	盬 鹽 監 ㈼ ㊬
fpnf	贀 瞖
fpoe	臨
fpqq	揿 拖欠
fpsf	鹥 投筆從戎 㬾
fpuf	鷖 投笔从戎 毉
fpvm	攒
fpxk	播
fqbb	挣
fqfc	挥 挣扎 或多或少
fqkv	撸 擼 ㏦
fqmf	换
fqov	挽 探路
fqpd	牵
fqqc	软
fqs	投
fqti	探 投射
fquj	掐
fqvz	搀
frbd	挺
frcl	抛 势力 热力
frdo	扳 㧞
frhu	捶 热茶 抓藥
fric	椠
frju	折
frkc	暂
frlq	搋
frov	括 插口
frq	扦
frrr	撬
frtc	轿
fruj	插 拆毀
frvc	錾
frwx	热
frxv	揪 热火
frz	抓
fsds	抱
fsmv	捣
fsny	鸦
fsov	拘
fspf	掏 搖 搖籃
fsxm	掬
fsy	拥
ftan	携
ftb	擤
ftcd	夼
ftdd	扮 推選 奮發
fthf	瓯
ftic	拊
ftqf	欧 殴
ftsf	鸥
fttd	爽 区分 
ftu	扒
ftw	推
fub	拍
fuez	捡
fugo	拾
fukd	搜 拍照 输电
fuma	擒
funz	鵄
furq	捭 轮船
fusc	轸
fuuj	挫 搗毀
fuvc	轮
fuwd	拎 损人害己 損人害己
fvae	抑
fvb	批
fvcc	轹
fved	援
fvfw	抵 指控
fvic	捋
fvkf	鬵 朁
fvlf	蠶 㔆
fvoc	辂
fvpf	摇
fvqd	授
fvub	揩
fvxt	挑 批准 指導
fwbi	挖
fwcv	按
fwed	拧
fwg	扩
fwig	控
fwko	搪
fwlc	辘
fwmd	盇
fwoc	辖 拍案叫绝
fwrd	态
fwsf	擦
fwud	太
fwzd	迏
fxas	搠 翘首以待
fxcv	搂
fxei	撙
fxfb	掷 擲
fxhv	拼 夾道歡迎
fxig	搓
fxke	掸
fxlt	搛
fxnd	眘 䙽
fxsd	鹩 揹包
fxtp	撇
fxud	鷯
fxyd	羍
fyak	搐
fycv	接 接缝 摘发
fyjv	撞
fykg	擅 较量
fyl	拉
fymo	搞
fyn	揞
fyoc	掠
fypc	辙 擅长 拉长
fyqj	抗 擁軍
fysp	撤
fytc	较
fyvw	掖
fzdd	达 大为改观
fzeu	抖
fzff	
fzh	护
fzjq	捩
fzm	扪
fzsv	掮
fzvo	搁
gaau	础
gafs	碜 万马奔腾
gam	码
gaod	殆
gas	泵 砅
gaus	磣
gawp	救 壓縮空氣
gbcl	劢 不力
gbfu	硉
gbg	硍
gblv	虿
gbmc	顾
gbol	趸 不足
gbsu	砀
gbu	万
gbvc	厩 不妥
gbzd	迈 歷盡滄桑
gcbb	孬 历书
gcig	頸 巠 頸項
gclc	历
gcm	砪
gcpu	砂
gcuw	匹 鴄 天災人禍
gcve	耍
gdbs	豝
gddi	磉
gdhf	碾
gdig	硁
gdov	吾 破口 唘
gdp	破
gdtu	砩 五谷
gdu	五 ㈤ ♷ ㊄
gecw	砖
ged	矴 亍
geeg	硏 而与
gefs	磦 豧
geg	矸
gek	亏
gem	碼
gend	殖 㱴 㱵
geov	砢
geqp	磝
gesv	碃
gett	礮 礟
gex	硒
gfau	砘 天線
gfc	砗
gfdd	砌 蚕桑
gfeo	碕
gfg	戋 䂝
gfkd	硽 殗
gflz	武
gfmj	砸
gfnb	貮 天眼 一转眼
gfov	吞
gfpg	硗
gftt	磢
gfy	砑
gfzd	迗 武汉 天波
ggbc	厉
ggcc	励 磕磕绊绊
ggfd	残 远大 硕大 碩大 碝
gggm	顽
gghv	研
ggic	厨 㝴
ggkt	硬
gglb	歪
ggmb	硕
ggok	鼋
ggsw	豗
ggub	丕 䲹
ggvc	厦
ggxs	燹
ggy	碩
ggzd	远 硬汉
ghbv	邢
ghcc	磡 勵
ghei	礴 礡
ghgg	礞
ghiv	碟
ghj	亓
ghkt	磺
ghlj	型
ghmv	觏 开山
ghot	礶
ghss	形
ghti	砹 形体 厮杀
ghun	鳽
ghw	砙
ghyc	硭
gibl	礎
gice	耐
gidb	耙
giet	耕 刑事责任 刑事責任
gifu	耭
gig	矼
gihk	耤
giiv	碄
gija	
giko	耦
gim	砞
ginc	厢 耡
giqy	耪
girm	耗
giw	耒
gixc	耧
gizd	迂
gjas	泰 春水
gjbz	硣
gjf	砆 
gjgf	奏 春天 来者不拒 不堪一击
gjin	礵
gjjv	硅
gjkc	厣
gjll	蠢
gjmc	黡 㕎
gjov	硈
gjqc	厌
gjrv	秦
gjss	硥 来去匆匆
gjuc	魇
gjvc	餍 奏乐 圧
gjwc	压 泰安
gjxu	硖
gkau	画
gkbc	厚 䣑
gkec	厘
gkfu	碨
gkgi	碍
gkkk	礧 硕果累累 碩果累累
gkmc	黶
gks	砷
gktb	郠 百亿
gkuc	碣 魘
gkv	百
gld	矵
glex	焉
gll	磠
glnb	碵 正当
glov	砧 裂口
glpp	政 顾虑重重
glsd	
glud	鴷 㱜
glvn	蜃
glwd	裂
glxd	烈 殩 烮
glzd	迾
gmau	襾
gmb	页
gmdj	硙
gmfd	殃 一网打尽
gmgo	硐 兩頭
gmhx	碳
gmlc	厕
gmmz	逦
gmox	磑
gmss	磞
gmtw	磪 兩邊
gmuu	两 丙 天网恢恢 丽人 麗人
gmve	砚
gmwu	鸝 面容
gmxe	礋
gmzm	丽 两门
gnfg	戛
gngw	硄
gniv	硱
gnj	硯
gnkv	磵 夏日
gnlv	蝁
gnov	靣 碢 硘
gnq	砠
gnrv	碅
gnsv	硝 礀
gnu	亞
gnvu	夏 一見鍾情
godk	鬸 䝀
goed	豉 殫 䰙
gohp	礹
gokl	副 融
golt	豏
gomd	殒 
gonm	靧
goqb	豌
goss	鬺
goti	吏
govn	唇
goxu	豆
gpbi	矻
gpff	硪
gpiw	硃
gplu	砟
gpov	硞
gpsd	殇 殤 殅
gpxk	磻
gpzz	砭 死气沉沉 不知深浅 不智之举 死氣沉沉 不知深淺
gqa	矾
gqbb	碀
gqf	碸
gqgb	硊
gqj	矶
gqq	砍
gqsd	殁
gqti	砜
gqx	矽
grbq	磤
grgc	磿
grhu	硾
grju	斫
grlq	磃
grmo	礄
grtu	硚
grxe	恧
gsds	砲
gsfs	磜
gsjo	碉
gskd	殉
gsls	豵
gsne	鸸
gssv	硼
gsul	磫
gsvn	脣
gsyb	甭
gtdd	砏
gtiv	磼
gtmc	赝
gtnc	贋 贗
gtuc	鴈
gtw	碓
gtxh	礁
guez	硷
gug	磈
guig	砼 原本
gune	鴯
guq	礆
gurc	愿 原委
gusd	殄
guti	硇 一体 䃯
guuc	仄
guvd	餮
guwb	砛
guxf	礇 一半 一类 原判
guyp	礉
guzd	殓 磓
gvaf	磎
gvb	砒
gvcx	砾
gvfw	砥
gvid	死
gvov	硌
gvpf	磘
gvsd	飱
gvv	碒
gwas	砯
gwbg	硠
gwev	砫
gwg	矿
gwha	硡 一衣带水 石家莊 一衣帶水
gwig	硿 矿工 礦工
gwkt	礦
gwqb	碗
gwtd	殡 殥
gwus	豖
gwvi	砣
gxaa	磁
gxed	殚
gxff	礒
gxig	磋
gxlx	碰
gxmb	赉
gxqc	厥 磱
gxrz	礈
gxuc	鷢
gxv	灭
gxxk	磳
gyav	硫 碎紙
gybp	礅
gyh	硋
gyl	砬
gymo	碻
gyov	碚
gyqy	磅
gysl	礲
gyue	碎
gzbi	砨
gzd	辷
gzmu	碥
haau	茁
hacy	翃
haed	藧
hafe	聫 茁壯成長
hahe	聨
haig	葒
haju	莊
hakm	藴
hamu	蒳
han	艿
haov	苔 莻
happ	荍
haqd	蕝
hasi	蔣
hatw	雄
hauu	苡
havq	綦
hawu	芨
haxe	聮
hbav	蔬
hbbg	鞬
hbct	萧
hbfv	蔇
hbg	茛
hbic	荨
hbm	茅
hbon	藬 勤務員
hbpo	莙
hbqm	菷
hbrg	菰
hbsv	荫
hbta	蕭
hbun	鶜
hbve	耶
hby	芧
hbz	芓
hccq	勘
hceq	斟 勒索 卙
hcfa	莼
hcgi	薅 㝼
hcig	荭
hcjg	菇 尰
hckm	蕴
hclg	勒
hcov	茄 茹
hcpm	尴 尷
hcsw	药 尥
hctu	苏
hcu	尢
hdai	苰
hdb	芭
hdce	娶
hdd	芀
hdeg	靵
hdfi	蔚
hdg	芎
hdhe	葞
hdig	茎
hdj	芑
hdkg	靷
hdme	颞
hdo	友
hdpg	鞁
hdsz	蓪
hdte	聚
hdvi	苨
hdw	葦
hdyi	蘗
heai	芸 勤練
hebv	邯
hecg	勤
hed	艼
hee	甘
hef	莆
hegg	靬 華碩
hehn	蕡
heiv	某 䔁
hejh	薽
hekt	黃 莆田
heno	蔷 共青团员 聽過 共青團員
heov	苛
heqb	荸
here	聴 聽
hesv	菁 某月
hetx	蘸
hevg	觐
hex	茜
hey	莤
hezg	韆 耳语 䩨
hfau	芚 警戒線
hfbu	苇 荿
hfd	芖
hfe	茞
hffs	蒜 萘
hfgc	葳
hfhu	茙
hfi	芅
hfjf	荴
hfkd	菴
hflo	蒧
hfmb	蒇
hfnb	蕆
hfok	茝
hfpg	荛
hfqc	蘙
hfsd	菢
hftw	蓷 蕥
hfu	芈
hfw	茂
hfxe	蘀
hfy	芽
hfz	荎
hgaq	蕨
hgb	芣
hgcl	苈
hge	荋
hggu	苤
hghl	荆 荊
hgik	藕
hgjg	鞲 蓬頭垢面
hgku	虉 聽天由命
hglg	薤
hgmj	芾 䒥
hgoe	菫 䎸
hgps	蕤
hgrl	藶
hgtg	鞕
hgu	廿 丗 㐀
hgvx	燕 難逃 㷼
hgwg	靰 帶病
hgxm	莱
hgzd	蓫 艱澀
hhae	耾
hhbg	鞯
hhcu	葚
hhdw	茇
hhe	茸
hhge	顳
hhhg	鞾 䩸
hhiv	葉
hhjj	蘳 歡歡喜喜
hhkb	荐
hhll	蠚
hhor	惹
hhq	萁
hhsg	鞴 有期徒刑 靾
hhwg	韈 苦苦哀求
hhyf	蘵
hidf	葜 黄梅戏
higu	苯
hiiv	菻
hijj	蓕 左轉
hikk	薑
hil	萊
him	茉
hinv	葙
hioq	蔌
hiqn	藾
hirj	菥 左近
hita	菘
hiuu	莁
hiw	苿
hjam	蓋
hje	薾
hjf	芙
hjg	苦
hjhv	莽 在劫難逃
hjjg	鞋 蕘
hjkv	著
hjmn	藚
hjng	韇
hjog	鞊
hjpu	茏
hjqf	薹
hjrw	蓺 蓻
hjsv	葫
hjtv	菱
hjv	芏
hjwr	蕙
hjxu	荚
hjzd	蓮 苦涩 苦澀
hkav	蔂 世界紀錄
hkcw	慕
hkee	聘 荲
hkfd	莫 莫大 在握
hkgg	靼 萬元
hkhd	蕞 存取
hkic	莳
hkkz	遭 遭遇
hklg	鞮
hkmd	蔓
hko	萬
hkrx	葸 存心
hksv	萌
hkt	苗
hkuc	葛
hkv	昔 䒤
hkwe	黈
hkxg	韅
hky	苖
hkz	草
hlcd	菽
hlf	菲
hlgz	蘧
hlkr	藘
hll	蓾
